release_reference_id,release_project_reference,datacenter_reference,tag_device_id,release_reference_type,latitude,longitude,time,expected_enddate,manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id
,,,,,degrees_north,degrees_east,UTC,UTC,,,,,
MACFL-15293,MACFL,nep,A69-1303-30664,ANIMAL,38.581239,-121.507286,2008-12-03T13:00:00Z,2009-02-11T13:00:00Z,VEMCO,V7,1062397,A69-1303,30664
MACFL-15294,MACFL,nep,A69-1303-30665,ANIMAL,38.581239,-121.507286,2008-12-03T13:00:00Z,2009-02-11T13:00:00Z,VEMCO,V7,1062398,A69-1303,30665
MACFL-15295,MACFL,nep,A69-1303-30670,ANIMAL,38.581239,-121.507286,2008-12-03T14:00:00Z,2009-02-11T14:00:00Z,VEMCO,V7,1062403,A69-1303,30670
MACFL-15296,MACFL,nep,A69-1303-30669,ANIMAL,38.581239,-121.507286,2008-12-03T14:00:00Z,2009-02-11T14:00:00Z,VEMCO,V7,1062402,A69-1303,30669
MACFL-15297,MACFL,nep,A69-1303-30667,ANIMAL,38.581239,-121.507286,2008-12-03T14:00:00Z,2009-02-11T14:00:00Z,VEMCO,V7,1062400,A69-1303,30667
MACFL-15298,MACFL,nep,A69-1303-30668,ANIMAL,38.581239,-121.507286,2008-12-03T14:00:00Z,2009-02-11T14:00:00Z,VEMCO,V7,1062401,A69-1303,30668
MACFL-15299,MACFL,nep,A69-1303-30671,ANIMAL,38.581239,-121.507286,2008-12-03T15:01:00Z,2009-02-11T15:01:00Z,VEMCO,V7,1062404,A69-1303,30671
MACFL-15300,MACFL,nep,A69-1303-30672,ANIMAL,38.581239,-121.507286,2008-12-03T15:01:00Z,2009-02-11T15:01:00Z,VEMCO,V7,1062405,A69-1303,30672
MACFL-15301,MACFL,nep,A69-1303-30673,ANIMAL,38.581239,-121.507286,2008-12-03T15:01:00Z,2009-02-11T15:01:00Z,VEMCO,V7,1062406,A69-1303,30673
MACFL-15302,MACFL,nep,A69-1303-30674,ANIMAL,38.581239,-121.507286,2008-12-03T15:01:00Z,2009-02-11T15:01:00Z,VEMCO,V7,1062407,A69-1303,30674
MACFL-15303,MACFL,nep,A69-1303-30678,ANIMAL,38.581239,-121.507286,2008-12-03T16:05:00Z,2009-02-11T16:05:00Z,VEMCO,V7,1062411,A69-1303,30678
MACFL-15304,MACFL,nep,A69-1303-30675,ANIMAL,38.581239,-121.507286,2008-12-03T16:05:00Z,2009-02-11T16:05:00Z,VEMCO,V7,1062408,A69-1303,30675
MACFL-15305,MACFL,nep,A69-1303-30676,ANIMAL,38.581239,-121.507286,2008-12-03T16:05:00Z,2009-02-11T16:05:00Z,VEMCO,V7,1062409,A69-1303,30676
