deployment_id,deployment_project_reference,datacenter_reference,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments
,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,
RBD2-VR2W-110548-2,ALS,OTN-Global,VEMCO,VR2W,110548,74.65480223,-94.89934483,2013-09-01T14:45:00Z,2014-08-28T09:58:00Z,ALS,ManmadePlatform,ALS_RBD2,60,57,NOT GIVEN 
RBD3-VR2W-110546-2,ALS,OTN-Global,VEMCO,VR2W,110546,74.65370396,-94.88994889,2013-09-01T15:00:00Z,2014-08-28T09:51:00Z,ALS,ManmadePlatform,ALS_RBD3,60,57,NOT GIVEN 
RBD4-VR2W-110544-2,ALS,OTN-Global,VEMCO,VR2W,110544,74.65253709,-94.88052311,2013-09-01T15:22:00Z,2014-08-28T09:45:00Z,ALS,ManmadePlatform,ALS_RBD4,60,57,NOT GIVEN 
RBD5-VR2W-110522-2,ALS,OTN-Global,VEMCO,VR2W,110522,74.65132961,-94.87077647,2013-09-01T16:00:00Z,2014-08-28T09:39:00Z,ALS,ManmadePlatform,ALS_RBD5,60,57,NOT GIVEN 
RBD6-VR2W-110527-2,ALS,OTN-Global,VEMCO,VR2W,110527,74.65022912,-94.86136491,2013-09-01T16:05:00Z,2014-08-28T09:33:00Z,ALS,ManmadePlatform,ALS_RBD6,60,57,NOT GIVEN 
RBD7-VR2W-110525-2,ALS,OTN-Global,VEMCO,VR2W,110525,74.64912494,-94.85229765,2013-09-01T16:11:00Z,2014-08-28T09:27:00Z,ALS,ManmadePlatform,ALS_RBD7,60,57,NOT GIVEN 
RBD8-VR2W-110539-2,ALS,OTN-Global,VEMCO,VR2W,110539,74.64796219,-94.84318169,2013-09-01T16:23:00Z,2014-08-28T09:20:00Z,ALS,ManmadePlatform,ALS_RBD8,60,57,NOT GIVEN 
RB7-VR2W-180-300800-2,ALS,OTN-Global,VEMCO,VR2W-180,300800,74.68548768,-94.86194267,2013-08-18T20:17:00Z,2014-08-17T17:36:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RBBP2-VR2W-180-300598-2,ALS,OTN-Global,VEMCO,VR2W-180,300598,74.64791,-94.833,2013-08-17T15:45:00Z,,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RB7-STOR-X-98-1,ALS,OTN-Global,Satlantic,STOR-X,98,74.68549,-94.86194,2012-08-02T00:40:00Z,2013-08-09T19:24:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RBBP2-STOR-X-93-1,ALS,OTN-Global,Satlantic,STOR-X,93,74.68482,-94.85932,2012-08-02T19:42:00Z,2013-08-09T18:25:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RBVPS2-RBR CT logger-61587-2,ALS,OTN-Global,RBR,RBR CT LOGGER,61587,74.68967,-94.85187,2013-08-22T13:58:00Z,2014-08-28T16:30:00Z,ALS,ManmadePlatform,ALS_RBVPS2,21,18,NOT GIVEN 
RBVPS2-RBR DO logger-54066-2,ALS,OTN-Global,RBR,RBR DO LOGGER,54066,74.68967,-94.85187,2013-08-22T13:58:00Z,2014-08-28T16:30:00Z,ALS,ManmadePlatform,ALS_RBVPS2,21,18,NOT GIVEN 
RB7-SBE CT-7945-1,ALS,OTN-Global,Seabird,MICROCAT SBE C-T,SBE CT-7945,74.68549,-94.86194,2012-08-02T00:40:00Z,2013-08-09T19:24:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RBBP2-SBE CT-7940-1,ALS,OTN-Global,Seabird,MICROCAT SBE C-T,SBE CT-7940,74.68482,-94.85932,2012-08-02T19:42:00Z,2013-08-09T18:25:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RB16-VR2W-110553-2,ALS,OTN-Global,VEMCO,VR2W,110553,74.67999,-94.85139,2013-08-12T20:32:00Z,2014-08-14T14:04:00Z,ALS,ManmadePlatform,ALS_RB16,25,22,NOT GIVEN 
RBVPS12-VR2W-180-300583-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300583,74.68414,-94.86191,2013-08-11T02:08:00Z,2014-08-17T08:18:00Z,ALS,ManmadePlatform,ALS_RBVPS12,28,25,NOT GIVEN 
RB2-VR2W-180-300767-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300767,74.6911,-94.85193,2013-08-12T19:17:00Z,2014-08-13T11:52:00Z,ALS,ManmadePlatform,ALS_RB2,18,15,NOT GIVEN 
RBBP2-Thermistor-9147-2,ALS,OTN-Global,Omega,Thermistor,9147,74.64791,-94.833,2013-08-17T20:45:00Z,2014-08-29T14:38:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RBBP2-Thermistor-9137-2,ALS,OTN-Global,Omega,Thermistor,9137,74.64791,-94.833,2013-08-17T20:45:00Z,2014-08-29T14:38:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RBBP2-Thermistor-9136-2,ALS,OTN-Global,Omega,Thermistor,9136,74.64791,-94.833,2013-08-17T20:45:00Z,2014-08-29T14:38:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RBBP2-Stor-X-89-2,ALS,OTN-Global,Satlantic,STOR-X,89,74.64791,-94.833,2013-08-17T20:45:00Z,2014-08-29T14:38:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RB13-VR2W-110542-2,ALS,OTN-Global,VEMCO,VR2W,110542,74.68281,-94.84127,2013-08-06T03:12:00Z,2014-08-17T13:02:00Z,ALS,ManmadePlatform,ALS_RB13,23,20,NOT GIVEN 
RB8-VR2W-110537-2,ALS,OTN-Global,VEMCO,VR2W,110537,74.68551,-94.85168,2013-08-06T03:27:00Z,2014-08-13T13:09:00Z,ALS,ManmadePlatform,ALS_RB8,25,22,NOT GIVEN 
RB5-VR2W-110538-2,ALS,OTN-Global,VEMCO,VR2W,110538,74.68833,-94.85182,2013-08-06T03:54:00Z,2014-08-13T12:57:00Z,ALS,ManmadePlatform,ALS_RB5,23,20,NOT GIVEN 
RB10-VR2W-110555-2,ALS,OTN-Global,VEMCO,VR2W,110555,74.68273,-94.87189,2013-08-11T01:55:00Z,2014-08-17T12:40:00Z,ALS,ManmadePlatform,ALS_RB10,26,23,NOT GIVEN 
RB7-CPOD-1084-2,ALS,OTN-Global,Chelonia Limited,C-POD,1084,74.68549,-94.86194,2013-08-19T01:17:00Z,2014-08-21T13:06:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RB7-SBE CT-37SIP67980-9467-2,ALS,OTN-Global,Seabird,MICROCAT SBE C-T,37SIP67980-9467,74.68549,-94.86194,2013-08-19T01:17:00Z,2014-08-21T13:06:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RBBP3-Stor-X-88-1,ALS,OTN-Global,Satlantic,STOR-X,Benthic Pod-88,74.64791,-94.833,2013-08-17T23:00:00Z,2014-08-30T18:30:00Z,ALS,ManmadePlatform,ALS_RBBP3,29,26,NOT GIVEN 
RB7-Stor-X-97-2,ALS,OTN-Global,Satlantic,STOR-X,97,74.68549,-94.86194,2013-08-19T01:17:00Z,2014-08-21T13:06:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RB15-VR2W-180-300788-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300788,74.67996,-94.86161,2013-08-12T20:28:00Z,2014-08-14T14:08:00Z,ALS,ManmadePlatform,ALS_RB15,23,20,NOT GIVEN 
