platform_reference_id,platform_project_reference,datacenter_reference,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,degrees_north,degrees_east
ADMIRALTY002,ADM,nep,Underwater mooring,123,ADMIRALTY002,48.07201,-122.6235
ADMIRALTY003,ADM,nep,Underwater mooring,159,ADMIRALTY003,48.07204,-122.62987
ADMIRALTY004,ADM,nep,Underwater mooring,146,ADMIRALTY004,48.07323,-122.63297
ADMIRALTY005,ADM,nep,Underwater mooring,128,ADMIRALTY005,48.07158,-122.64118
ADMIRALTY006,ADM,nep,Underwater mooring,134,ADMIRALTY006,48.07332,-122.644
ADMIRALTY007,ADM,nep,Underwater mooring,119,ADMIRALTY007,48.07185,-122.64923
ADMIRALTY008,ADM,nep,Underwater mooring,86,ADMIRALTY008,48.07331,-122.655
ADMIRALTY009,ADM,nep,Underwater mooring,75,ADMIRALTY009,48.07335,-122.66151
Turn Pt Stuart Is,ADM,nep,Underwater mooring,135.26,Turn Pt Stuart Is,48.6883,-123.2374
Yellow Island,ADM,nep,Underwater mooring,135.26,Yellow Island,48.5904,-123.0336
ADMIRALTY010,ADM,nep,Underwater mooring,79,ADMIRALTY010,48.07359,-122.66689
ADMIRALTY011,ADM,nep,Underwater mooring,101,ADMIRALTY011,48.07327,-122.67194
ADMIRALTY012,ADM,nep,Underwater mooring,88,ADMIRALTY012,48.07331,-122.67749
ADMIRALTY013,ADM,nep,Underwater mooring,20,ADMIRALTY013,48.07337,-122.68244
SJ013,ADM,nep,Underwater mooring,135.26,SJ013,48.5582,-123.1737
SJ017,ADM,nep,Underwater mooring,135.26,SJ017,48.4796,-123.0736
SJ007,ADM,nep,Underwater mooring,135.26,SJ007,48.6004,-122.8292
ADM-test tags,ADM,nep,Underwater mooring,135.26,ADM-test tags,48.1,-122.4
NETS1,ALFA,nep,Underwater mooring,57,NETS1,44.7002,-124.1495
NETS2,ALFA,nep,Underwater mooring,60,NETS2,44.7002,-124.1588
NETS3,ALFA,nep,Underwater mooring,63,NETS3,44.7002,-124.1685
NETS4,ALFA,nep,Underwater mooring,65,NETS4,44.7002,-124.1778
NETS5,ALFA,nep,Underwater mooring,68,NETS5,44.6997,-124.1875
NETS6,ALFA,nep,Underwater mooring,69,NETS6,44.7,-124.1968
NETS7,ALFA,nep,Underwater mooring,69,NETS7,44.7002,-124.2063
NETS8,ALFA,nep,Underwater mooring,67,NETS8,44.7002,-124.2157
SETSA1,ALFA,nep,Underwater mooring,55,SETSA1,44.5583,-124.1768
SETSA2,ALFA,nep,Underwater mooring,57,SETSA2,44.5582,-124.1863
SETSA3,ALFA,nep,Underwater mooring,59,SETSA3,44.5583,-124.1958
SETSA4,ALFA,nep,Underwater mooring,61,SETSA4,44.5583,-124.2053
SETSA5,ALFA,nep,Underwater mooring,64,SETSA5,44.5583,-124.2143
SETSA6,ALFA,nep,Underwater mooring,68,SETSA6,44.5582,-124.2242
SETSA7,ALFA,nep,Underwater mooring,73,SETSA7,44.5582,-124.2337
SETSA8,ALFA,nep,Underwater mooring,75,SETSA8,44.5583,-124.243
SETSB1,ALFA,nep,Underwater mooring,56,SETSB1,44.541,-124.1775
SETSB2,ALFA,nep,Underwater mooring,58,SETSB2,44.542,-124.1863
SETSB3,ALFA,nep,Underwater mooring,59,SETSB3,44.5415,-124.1958
SETSB4,ALFA,nep,Underwater mooring,61,SETSB4,44.5418,-124.2052
SETSB5,ALFA,nep,Underwater mooring,65,SETSB5,44.5417,-124.215
SETSB6,ALFA,nep,Underwater mooring,69,SETSB6,44.5415,-124.2242
SETSB7,ALFA,nep,Underwater mooring,74,SETSB7,44.5417,-124.2337
SETSB8,ALFA,nep,Underwater mooring,73,SETSB8,44.5417,-124.243
5RIVERS-5RIVERS,ALSEA,nep,Underwater mooring,3,5RIVERS-5RIVERS,44.215048,-123.493317
NEHALEM-O,ALSEA,nep,Underwater mooring,2.1,NEHALEM-O,45.484323,-123.45422
Jaws Inner-001,ALSEA,nep,Underwater mooring,4.7,Jaws Inner-001,44.42404635,-124.0763811
Jaws Inner-002,ALSEA,nep,Underwater mooring,9,Jaws Inner-002,44.42333407,-124.0755389
Jaws Inner-003,ALSEA,nep,Underwater mooring,9,Jaws Inner-003,44.42261917,-124.0749731
Jaws outer-001,ALSEA,nep,Underwater mooring,9,Jaws outer-001,44.421937,-124.077674
Jaws outer-002,ALSEA,nep,Underwater mooring,9,Jaws outer-002,44.42129479,-124.0788933
MidEstuary-001,ALSEA,nep,Underwater mooring,4,MidEstuary-001,44.4380728,-124.064852
MidEstuary-002,ALSEA,nep,Underwater mooring,3,MidEstuary-002,44.43706504,-124.062861
MidEstuary-003,ALSEA,nep,Underwater mooring,3,MidEstuary-003,44.43570281,-124.0621955
Mouth of Fall Cr.-001,ALSEA,nep,Underwater mooring,1.8,Mouth of Fall Cr.-001,44.37606173,-123.7332235
NEHALEM-BOATLAUNCH,ALSEA,nep,Underwater mooring,2.1,NEHALEM-BOATLAUNCH,45.7058122,-123.8874564
NEHALEM-CONFLUENCE,ALSEA,nep,Underwater mooring,1.8,NEHALEM-CONFLUENCE,45.7347839,-123.8748561
NEHALEM-JAWS,ALSEA,nep,Underwater mooring,4.6,NEHALEM-JAWS,45.6600147,-123.9327628
NEHALEM-MOUTH,ALSEA,nep,Underwater mooring,3.8,NEHALEM-MOUTH,45.6634186,-123.9292892
NEHALEM-PARADISECOVE,ALSEA,nep,Underwater mooring,3.2,NEHALEM-PARADISECOVE,45.6901011,-123.8984069
Oakland Marina-001,ALSEA,nep,Underwater mooring,3.4,Oakland Marina-001,44.40627004,-123.9925692
