FID,CHSA_CD,CHSA_Name,CHSA_Title,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_Cl,CHSA_Pop16,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
70,2332,North Surrey,2332 North Surrey,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,51161,18.64,49.190775,-122.871358,43609120.0234375,29816.5220311395
71,2333,Cloverdale,2333 Cloverdale,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,69963,71.48,49.108937,-122.731765,166634035.476563,73172.7926390874
72,2334,Panorama,2334 Panorama,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,45391,39.4,49.09705,-122.829482,91810418.359375,55261.4261399221
73,2335,East Newton,2335 East Newton,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,62748,21.9,49.135239,-122.82444,51101614.6875,40643.1556000934
74,2336,Fleetwood,2336 Fleetwood,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,58701,15.83,49.159956,-122.78726,36969651.2109375,32682.9316446636
75,2337,Guildford,2337 Guildford,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,60538,53,49.18521,-122.751213,123950468.453125,59215.8830737859
76,2338,West Newton,2338 West Newton,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,41463,9.81,49.14245,-122.877013,22895660.890625,24453.9455556913
77,2341,South Surrey,2341 South Surrey,234,South Surrey/White Rock,234 South Surrey/White Rock,202,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,3 Medium Urban,74816,81.27,49.040243,-122.755638,188942934.453125,80129.0593671149
78,2342,White Rock,2342 White Rock,234,South Surrey/White Rock,234 South Surrey/White Rock,202,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,3 Medium Urban,19952,5.12,49.025765,-122.805856,11906394.1171875,18840.0486147341
79,3111,Richmond City Centre,3111 Richmond City Centre,311,Richmond,311 Richmond,038,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,54587,9.8,49.173416,-123.135806,22900097.2109375,25505.0479769375
80,3112,Blundell,3112 Blundell,311,Richmond,311 Richmond,038,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,17729,4.6,49.149788,-123.158112,10733891.8984375,15053.2559987411
81,3113,Broadmoor,3113 Broadmoor,311,Richmond,311 Richmond,038,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,23478,6.02,49.144519,-123.131014,14056506.609375,14991.1472056057
82,3115,Steveston,3115 Steveston,311,Richmond,311 Richmond,038,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,24774,7.7,49.131049,-123.175713,17974527.640625,22689.1832890537
83,3116,East and West Cambie/Bridgeport,3116 East and West Cambie/Bridgeport,311,Richmond,311 Richmond,038,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,24621,18.18,49.18678,-123.086514,42531224.96875,31315.7424742762
84,3211,Downtown Vancouver,3211 Downtown Vancouver,321,Vancouver - City Centre,321 Vancouver - City Centre,161,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,41934,2.23,49.280217,-123.120886,5240671.9609375,18224.4145952652
85,3212,West End,3212 West End,321,Vancouver - City Centre,321 Vancouver - City Centre,161,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,47203,6.08,49.299411,-123.141112,14288773.015625,22990.4040420451
86,3213,Fairview,3213 Fairview,321,Vancouver - City Centre,321 Vancouver - City Centre,161,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,32904,3.27,49.262517,-123.130412,7675609.234375,15841.7309137887
87,3221,Downtown Eastside,3221 Downtown Eastside,322,Vancouver - Centre North,322 Vancouver - Centre North,162,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,19960,3.51,49.279709,-123.091058,8236807.984375,22069.3987492941
88,3222,Northeast False Creek,3222 Northeast False Creek,322,Vancouver - Centre North,322 Vancouver - Centre North,162,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,12392,0.92,49.277153,-123.109479,2158263.6015625,8472.2994685003
89,3223,Grandview-Woodland,3223 Grandview-Woodland,322,Vancouver - Centre North,322 Vancouver - Centre North,162,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,29180,4.56,49.275921,-123.066658,10697269.96875,19927.7083550597
90,3231,Cedar Cottage,3231 Cedar Cottage,323,Vancouver - Northeast,323 Vancouver - Northeast,163,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,18027,3.05,49.254077,-123.067698,7149916.765625,12685.254153487
91,3232,Hastings-Sunrise,3232 Hastings-Sunrise,323,Vancouver - Northeast,323 Vancouver - Northeast,163,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,34575,7.95,49.277275,-123.040193,18670633.65625,19743.1736004628
92,3233,Renfrew-Collingwood,3233 Renfrew-Collingwood,323,Vancouver - Northeast,323 Vancouver - Northeast,163,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,51292,8.09,49.24746,-123.040167,18973934.28125,19118.1013169702
93,3241,Shaughnessy/Arbutus Ridge/Kerrisdale,3241 Shaughnessy/Arbutus Ridge/Kerrisdale,324,Vancouver - Westside,324 Vancouver - Westside,164,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,37993,15.78,49.235762,-123.155689,36976459.125,32153.3532087211
