FID,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,LHA_Pop16,LHA_Area,Latitude,Longitude,Shape__Area,Shape__Length
27,145,North Thompson,145 North Thompson,26,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,4050,12521.05,52.133973,-119.682727,33183315925,1177509.18
28,146,Cariboo/Chilcotin,146 Cariboo/Chilcotin,27,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,24815,44398.05,51.928459,-122.991526,1.17143E+11,2581278.521
29,147,Lillooet,147 Lillooet,29,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,4012,7422.41,50.850142,-122.442673,18556882351,1011605.577
30,148,South Cariboo,148 South Cariboo,30,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6548,9317.38,50.672256,-121.498826,23169755590,1372929.054
31,149,Merritt,149 Merritt,31,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,10855,6557.64,50.083169,-120.549031,15907532327,851085.8401
32,211,Hope,211 Hope,32,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,8129,5292.47,49.57816,-121.448132,12576500307,960566.9711
33,212,Chilliwack,212 Chilliwack,33,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,93177,1308.54,49.112956,-121.713962,3051321816,301492.8103
34,213,Abbotsford,213 Abbotsford,34,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,141685,411.85,49.070757,-122.275943,958753703.7,145941.6472
35,214,Mission,214 Mission,75,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,43157,1454.61,49.397045,-122.27416,3430609004,419807.1911
36,215,Agassiz/Harrison,215 Agassiz/Harrison,76,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,9696,4111.86,49.700903,-122.051909,9818252211,748117.3423
37,221,New Westminster,221 New Westminster,40,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,70996,18.59,49.214744,-122.914242,43520225.75,33330.84704
38,222,Burnaby,222 Burnaby,41,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,232755,91.96,49.246043,-122.965057,215572983.4,63584.98997
39,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,42,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,101101,1460.48,49.501392,-122.503036,3468497265,492067.5728
40,224,Tri-Cities,224 Tri-Cities,43,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,234393,745.79,49.413814,-122.754354,1760033950,239647.6121
41,231,Langley,231 Langley,35,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,143778,327.36,49.092075,-122.574861,762737249.7,113996.0275
42,232,Delta,232 Delta,37,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,103064,199.97,49.100265,-123.009937,465990324.4,168209.388
43,233,Surrey,233 Surrey,201,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,443367,252.39,49.139982,-122.789314,589214893.8,114153.0991
44,234,South Surrey/White Rock,234 South Surrey/White Rock,202,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,94768,86.39,49.039259,-122.768501,200849328.6,74606.87304
45,311,Richmond,311 Richmond,38,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,198309,151.73,49.169051,-123.109939,354467661.7,132834.6849
46,321,Vancouver - City Centre,321 Vancouver - City Centre,161,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,122041,11.59,49.28472,-123.134257,27205054.21,48097.85048
47,322,Vancouver - Centre North,322 Vancouver - Centre North,162,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,61532,8.99,49.277527,-123.080567,21092341.55,38377.546
